Symbol, Price, ADX, BBANDS, BOP, MACD, MOM, RSI
ADBE,244.68,33.4628,0.0930194539807096,0.1498,2.3352,-0.00626123916952755,69.672
AIRT,32.75,34.8106,0.137453435114504,-0.1422,0.163,-0.0108549618320611,59.038
ALOT,18.1,29.6516,0.0561657458563536,-0.4,-0.1012,-0.0160220994475138,57.2737
BB,9.81,21.7794,0.0906422018348624,0.1966,-0.2049,-0.00611620795107034,38.6321
BNED,5.62,13.64,0.073594306049822,0.0167,-0.1704,0.0209964412811388,34.455
BRID,13.7,23.5819,0.0472919708029197,0.0776,-0.1162,0.000405839416058394,38.8584
CAG,36.71,13.9857,0.0625769545083083,0.4392,-0.0513,0.0182511577226914,53.3634
CMC,22.34,15.2721,0.0684959713518351,0.7028,-0.0237,0.0239033124440466,48.5943
CMTL,33.6,56.8818,0.130315476190476,0.512,0.3241,-0.0255059523809524,65.2462
FDX,245.87,19.2594,0.0808231992516371,0.8776,-0.2625,0.0411925001016798,48.5923
FIVE,97.16,55.2939,0.100475504322767,0.0119,0.9012,-0.038205022643063,64.6972
FUL,56.68,12.8601,0.0693154551870147,0.8575,0.5767,0.0141496118560339,65.7276
HDS,43.98,36.7327,0.0578672123692588,0.4179,0.2704,-0.0053206002728513,62.0858
HLNE,48.97,48.233,0.0849009597712884,0.1282,0.5431,-0.0098836022054319,65.979
HOFT,45.05,32.2,0.139231964483907,-0.2857,-0.0683,-0.0712541620421753,53.9675
HOME,36.27,35.6589,0.17119382409705,-0.4528,-0.3466,-0.0189137027846705,49.3686
HQY,75.5,39.044,0.137560264900662,0.0999,0.1184,-0.0282384105960265,57.5682
HRB,25.16,19.8223,0.114602543720191,0.8655,0.1122,0.0451510333863275,46.2392
JBL,28.17,13.1066,0.0515867944621938,0.4424,0.0561,-0.0134185303514377,49.1535
KBH,23.75,17.0671,0.223486315789474,-0.6713,-0.7116,-0.143157894736842,32.0512
KMG,71.8,34.9446,0.0821699164345404,-0.1949,-0.4481,-0.0383565459610028,54.4272
LEN,52.27,21.5193,0.073656016835661,0.0516,-0.146,-0.0431222498565143,40.8842
LNN,94.14,15.1764,0.134378585086042,-0.1287,-1.7665,-0.0296367112810707,42.4356
MEI,39.25,17.9966,0.0796840764331209,-0.1944,-0.5665,-0.0203821656050955,37.9926
MSB,28.25,21.2018,0.167093805309735,0.8152,0.7386,0.088141592920354,61.5757
MTN,276.87,35.3104,0.0744905551341784,0.1776,2.2354,-0.0277675443348864,66.0118
MU,52.79,23.9857,0.103841636673612,0.1578,-0.5594,-0.0461451032392499,50.8602
NATH,98.25,48.9317,0.0819053435114503,0.3383,1.8005,0.00559796437659033,72.1597
NCS,15.95,34.5029,0.622858934169279,-0.7519,-1.4508,-0.322257053291536,32.0463
OLLI,69.5,37.5903,0.0966733812949641,-0.303,-0.2995,-0.0424460431654676,55.661
PANW,198.26,31.6328,0.0774185413093917,-0.2573,-0.2501,-0.0464037122969838,58.6115
PKE,22.11,40.7526,0.0789778380823156,-0.4912,0.1555,-0.0469470827679783,62.2096
PRGS,36.79,24.1082,0.0365860288121773,-0.4293,0.02,-0.023049741777657,45.7319
RFIL,9.95,65.0502,0.383417085427136,0.8889,0.5937,0.169849246231156,82.9798
RH,135.86,42.1343,0.0884233770057411,-0.2015,0.9273,-8.83262181657583E-05,61.861
SCHN,32.95,16.4359,0.155204855842185,-0.1262,-0.0913,-0.0476479514415782,49.362
SFIX,28.66,34.6491,0.351242149337055,0.2292,0.9552,-0.117725052337753,57.7489
SGH,30.53,22.2408,0.0852276449394038,-0.2416,-1.5057,0.0064199148378644,38.8866
TLRD,20.16,37.3849,0.37859126984127,-0.9277,-1.7546,-0.0806547619047619,33.3044
UNFI,32.2,17.1319,0.528341614906832,-0.7756,-2.2137,-0.282919254658385,24.996
